id;address;phone;logged_in;points
1;Jamahiriya Ergonomic Architect;446-468-3873 x265;true;7242
2;fresh-thinking;1-302-743-4001;false;91684
3;payment;512-297-7746 x9873;true;73938
4;1080p override Vermont;1-882-435-5653 x574;true;13997
5;silver Rapid Cambridgeshire;(456) 220-1344 x437;true;99671
6;Investor Money;445.559.7789 x0899;true;16183
7;Nebraska Croatia;531.270.8752;true;37580
8;mobile;527.231.2151;true;36871
9;SMTP Alabama Horizontal;613-493-3796 x98717;false;57627
10;Central 4th green;(284) 955-3033 x00817;true;23409
